,nblobs,areas,area0,area1
6670,2,,1936.5,1589.5
6671,2,,1970.5,1580.0
6672,2,,2023.0,1593.5
6673,2,,2028.0,1596.0
6674,2,,2029.5,1596.5
6675,2,,2045.0,1603.0
6676,2,,2080.5,1614.0
6677,2,,2040.5,1649.5
6678,2,,2076.5,1654.5
6679,2,,2088.0,1654.0
6680,2,,2113.5,1638.5
6681,2,,2120.0,1659.0
6682,2,,2175.5,1666.0
6683,2,,2141.0,1681.0
6684,2,,2150.0,1675.0
6685,2,,2169.5,1662.5
6686,2,,2176.0,1682.0
6687,2,,2174.5,1720.0
6688,2,,2200.0,1717.5
6689,2,,2178.0,1729.0
6690,2,,2210.5,1749.5
6691,2,,2289.5,1786.5
6692,2,,2276.0,1771.0
6693,2,,2308.0,1780.0
6694,2,,2248.0,1809.5
6695,2,,2226.5,1817.0
6696,2,,2254.5,1862.0
6697,2,,2270.5,1806.5
6698,2,,2294.5,1787.5
6699,2,,2311.5,1769.5
6700,2,,2245.0,1817.0
6701,2,,2277.5,1846.5
6702,2,,2272.5,1841.0
6703,2,,2358.0,1865.5
6704,2,,2375.5,1861.5
6705,2,,2395.0,1868.5
6706,2,,2374.5,1881.5
6707,2,,2421.5,1850.5
6708,2,,2426.0,1770.5
6709,2,,2444.5,1808.0
6710,2,,2409.0,1869.5
6711,2,,2439.5,1882.5
6712,2,,2455.5,1917.5
6713,2,,2444.0,1952.5
6714,2,,2445.5,1962.0
6715,2,,2442.5,1937.0
6716,2,,2463.5,1936.0
6717,2,,2420.0,1923.5
6718,2,,2418.0,1935.0
6719,2,,2413.5,1935.5
6720,2,,2380.5,1940.0
6721,2,,2347.5,1938.0
6722,2,,2408.0,1932.5
6723,2,,2413.5,1938.5
6724,2,,2397.0,1952.5
6725,2,,2334.5,1955.0
6726,2,,2313.0,1956.0
6727,2,,2289.0,1949.5
6728,2,,2201.0,1945.5
6729,2,,2223.0,1942.5
6730,2,,2200.5,1964.0
6731,2,,2183.0,1981.5
6732,2,,2196.5,2001.0
6733,2,,2201.5,1988.5
6734,2,,2192.5,2013.5
6735,2,,2137.5,1991.0
6736,2,,2154.5,1997.5
6737,2,,2145.5,1974.0
6738,2,,2121.0,1949.0
6739,2,,2122.0,1990.5
6740,2,,2138.5,1955.5
6741,2,,2140.0,1890.5
6742,2,,2126.5,1886.0
6743,2,,2159.0,1893.5
6744,2,,2161.5,1905.0
6745,2,,2179.5,1916.0
6746,2,,2197.0,1932.0
6747,2,,2248.5,1943.0
6748,2,,2217.0,1919.0
6749,2,,2246.5,1918.0
6750,2,,2254.5,1905.5
6751,2,,2285.0,1915.5
6752,2,,2274.5,1923.5
6753,2,,2256.5,1914.0
6754,2,,2275.5,1911.0
6755,2,,2309.0,1908.5
6756,2,,2278.5,1905.0
6757,2,,2264.0,1950.5
6758,2,,2291.5,1946.0
6759,2,,2287.0,1960.5
6760,2,,2308.5,1938.5
6761,2,,2296.5,1925.0
6762,2,,2297.5,1921.0
6763,2,,2288.0,1930.5
6764,2,,2285.5,1942.5
6765,2,,2291.0,1930.5
6766,2,,2357.5,1926.5
6767,2,,2297.0,1935.5
6768,2,,2282.5,1957.0
6769,2,,2248.5,1953.0
6770,2,,2232.0,1982.0
6771,2,,2241.0,2005.0
6772,2,,2244.5,1998.0
6773,2,,2281.0,1992.0
6774,2,,2232.0,1959.5
6775,2,,2155.5,1961.0
6776,2,,2148.5,1944.0
6777,2,,2183.0,1952.0
6778,2,,2163.5,1962.5
6779,2,,2182.0,1995.5
6780,2,,2203.5,1971.0
6781,2,,2124.0,1981.5
6782,2,,2113.0,1928.5
6783,2,,2116.5,1925.0
6784,2,,2107.0,1962.0
6785,2,,2134.0,1926.0
6786,2,,2110.5,1928.5
6787,2,,2131.0,1915.5
6788,2,,2155.5,1916.5
6789,2,,2114.0,1910.0
6790,2,,2157.5,1916.5
6791,2,,2164.5,1884.5
6792,2,,2149.5,1884.5
6793,2,,2166.5,1894.0
6794,2,,2187.5,1914.0
6795,2,,2216.0,1876.5
6796,2,,2171.0,1880.0
6797,2,,2195.0,1865.0
6798,2,,2209.5,1875.0
6799,2,,2215.0,1898.5
6800,2,,2216.0,1890.0
6801,2,,2226.0,1892.0
6802,2,,2217.0,1874.5
6803,2,,2218.0,1878.0
6804,2,,2205.5,1877.5
6805,2,,2231.5,1866.5
6806,2,,2266.0,1871.5
6807,2,,2268.0,1875.5
6808,2,,2238.5,1865.0
6809,2,,2229.0,1855.0
6810,2,,2229.0,1862.0
6811,2,,2236.5,1870.0
6812,2,,2222.0,1863.0
6813,2,,2255.0,1855.5
6814,2,,2240.5,1847.0
6815,2,,2248.5,1860.5
6816,2,,2234.5,1851.0
6817,2,,2230.5,1853.5
6818,2,,2238.5,1844.5
6819,2,,2265.0,1843.0
6820,2,,2288.0,1854.0
6821,2,,2304.0,1850.0
6822,2,,2282.0,1856.5
6823,2,,2298.0,1847.5
6824,2,,2288.5,1854.5
6825,2,,2267.0,1852.0
6826,2,,2274.0,1850.5
6827,2,,2273.0,1849.0
6828,2,,2274.0,1861.0
6829,2,,2284.5,1843.0
6830,2,,2250.0,1836.5
6831,2,,2222.5,1840.5
6832,2,,2347.5,1833.5
6833,2,,2294.0,1827.5
6834,2,,2290.5,1832.0
6835,2,,2198.5,1834.0
6836,2,,2219.5,1819.5
6837,2,,2204.0,1808.5
6838,2,,2183.5,1797.0
6839,2,,2155.5,1818.5
6840,2,,2169.0,1821.5
6841,2,,2182.0,1836.0
6842,2,,2185.0,1827.5
6843,2,,2171.0,1838.5
6844,2,,2188.0,1852.0
